Rotten Tomatoes critic rating data for various movies normalized on a scale of 5 and processed
Title,# of Ratings,Rating,Word Rating,1 Star,1 Frac,1 Perc,2 Stars,2 Frac,2 Perc,3 Stars,3 Frac,3 Perc,4 Stars,4 Frac,4 Perc,5 Stars,5 Frac,5 Perc
M3GAN (2023),213,4,Great,0,0/213,0%,7,7/213,3%,71,71/213,33%,124,124/213,58%,11,11/213,5%
M3GAN 2.0 (2025),162,3,Ok,5,5/162,3%,35,35/162,22%,74,74/162,46%,44,44/162,27%,4,4/162,2%
The Super Mario Bros. Movie (2023),202,3,Ok,13,13/202,6%,39,39/202,19%,95,95/202,47%,49,49/202,24%,6,6/202,3%
Superman (2025),317,4,Great,4,4/317,1%,19,19/317,6%,83,83/317,26%,159,159/317,50%,51,51/317,16%
Killers of the Flower Moon (2023),298,5,Amazing,2,2/298,1%,8,8/298,3%,28,28/298,9%,111,111/298,37%,149,149/298,50%
Oppenheimer (2023),330,5,Amazing,2,2/330,1%,6,6/330,2%,29,29/330,9%,121,121/330,37%,172,172/330,52%
Wonka (2023) ,230,4,Great,1,1/230,0%,17,17/230,7%,56,56/230,24%,128,128/230,56%,28,28/230,12%
The Little Mermaid (2023),237,3,Ok,4,4/237,2%,33,33/237,14%,109,109/237,46%,87,87/237,37%,4,4/237,2%
The Hunger Games (2012),245,4,Great,2,2/245,1%,15,15/245,6%,59,59/245,24%,146,146/245,60%,23,23/245,9%
The Hunger Games: Catching Fire (2013),219,4,Great,0,0/219,0%,8,8/219,4%,41,41/219,19%,148,148/219,68%,22,22/219,10%
"The Hunger Games: Mockingjay, Part 1 (2014)",220,3,Ok,6,6/220,3%,29,29/220,13%,92,92/220,42%,88,88/220,40%,5,5/220,2%
"The Hunger Games: Mockingjay, Part 2 (2015)",213,3,Ok,4,4/213,2%,20,20/213,9%,93,93/213,44%,89,89/213,42%,7,7/213,3%
The Hunger Games: The Ballad of Songbirds & Snakes (2023),170,4,Great,6,6/170,4%,21,21/170,12%,65,65/170,38%,70,70/170,41%,8,8/170,5%
Dune (2021),327,4,Great,3,3/327,1%,17,17/327,5%,73,73/327,22%,152,152/327,46%,82,82/327,25%
Dune: Part Two,320,5,Amazing,2,2/320,1%,6,6/320,2%,39,39/320,12%,133,133/320,42%,140,140/320,44%
Beetlejuice (1988),68,4,Great,0,0/68,0%,5,5/68,7%,20,20/68,29%,34,34/68,50%,9,9/68,13%
Beetlejuice Beetlejuice (2024),249,3,Ok,1,1/249,0%,23,23/249,9%,110,110/249,44%,106,106/249,43%,9,9/249,4%
Hotel Rwanda (2004),149,4,Great,0,0/149,0%,3,3/149,2%,17,17/149,11%,86,86/149,58%,43,43/149,29%
Barbie (2023),323,4,Great,2,2/323,1%,10,10/323,3%,49,49/323,15%,168,168/323,52%,94,94/323,29%
Deadpool & Wolverine (2024),281,4,Great,8,8/281,3%,26,26/281,9%,76,76/281,27%,134,134/281,48%,37,37/281,13%
Avengers: Infinity War (2018),220,4,Great,3,3/220,1%,8,8/220,4%,52,52/220,24%,99,99/220,45%,58,58/220,26%
Avengers: Endgame (2019),372,4,Great,1,1/372,0%,8,8/372,2%,45,45/372,12%,186,186/372,50%,132,132/372,35%
Alien: Romulus (2024),260,4,Great,2,2/260,1%,21,21/260,8%,84,84/260,32%,136,136/260,52%,17,17/260,7%
Alien (1979),95,5,Amazing,0,0/95,0%,0,0/95,0%,4,4/95,4%,25,25/95,26%,66,66/95,69%
