M3GAN (2023),M3GAN 2.0 (2025),The Super Mario Bros. Movie (2023),Superman (2025),Killers of the Flower Moon (2023),Oppenheimer (2023),Wonka (2023),The Little Mermaid (2023),The Hunger Games (2012),The Hunger Games: Catching Fire (2013),"The Hunger Games: Mockingjay, Part 1 (2014)","The Hunger Games: Mockingjay, Part 2 (2015)",The Hunger Games: The Ballad of Songbirds & Snakes (2023),Dune (2021),Dune: Part Two,Beetlejuice (1988),Beetlejuice Beetlejuice (2024),Hotel Rwanda (2004),Barbie (2023),Deadpool & Wolverine (2024),Avengers: Infinity War (2018),Avengers: Endgame (2019),Alien: Romulus (2024),Alien (1979)
4|5,8|10,3|5,6|10,2|5,4.5|5,4|5,3.5|5,3|5,3|5,4|5,4|5,3.5|5,4|5,4.5|5,3.5|5,3.5|5,7|10,2.5|5,4|5,9.5|10,3|5,2|4,10|10
3.5|5,8|10,2.5|5,C+,4|5,5|5,4|5,3.5|5,4|10,4.5|5,3.5|5,3|5,3.5|5,A-,5|5,3|4,4|5,4.0|4.0,2|5,6|10,A-,7.5|10,6.5|10,4.5|5
3|5,4.5|5,3|5,A,5|5,4|5,3.5|5,2|5,3|4,4|4,3|5,4|10,3|5,B+,4|5,4.5|5,3|5,4|4,4|5,F,5|5,4|5,6|10,5|5
4|5,2|5,4|5,B+,5|5,4.5|5,4|5,2|5,3.5|5,4|5,3.5|4,2.5|5,2.5|4,A+,4.5|5,4.5|5,B,1.5|4,5|5,4|5,4|5,A+,4|5,5|5
4|5,2|4,1|5,9|10,9|10,5|5,4|5,6.9|10,4|5,4|5,3|5,3.5|4,2.5|5,8|10,3|4,4|5,8|10,A-,4|5,4|5,4|5,5|5,4|5,4|4
B,3.5|5,3|5,3|5,5|5,5|5,6|10,3|5,6|10,7|10,4|5,3.5|5,3|4,5|5,A-,3|5,2.5|4,3.5|5,4.5|5,B,4|4,9.5|10,7|10,3|4
4|5,3|5,1|5,5|5,7.5|10,3.5|4,8|10,3|4,3.5|4.0,3.5|4.0,3.5|5,4|5,4|5,5|5,7|10,3|4,2.5|4,3.5|4,5|5,2.5|4,80|100,4.5|5,4|5,3|5
2.5|4,C+,C+,4|5,B+,5|5,7|10,D,7|10,4|5,3|10,4|5,8.5|10,3.5|4,4|5,3.5|5,3.5|5,75|100,A-,3.5|5,B,4|5,3|4,3|4
3|5,2.5|4,2.5|5,4|5,1|5,2|5,B,3|5,2|5,B+,2.5|4.0,4|5,3|4,4|5,4|5,2|5,2.5|5,3.5|4,5|5,4|10,9|10,3.5|4,4|5,A
B,4|10,6|10,8.5|10,A,4.5|5,2|5,2.5|5,3.5|5,7|10,B-,3|10,C+,4|5,A-,4|5,B+,4|5,3|5,4|5,4|5,4|4,5|10,10|10
